nxc,tau
18046065196,0.192351318
26473309787,0.189958361
46041353610,0.194463209
69205673528,0.191712996
1.17471E+11,0.193971977
1.76576E+11,0.190129683
2.99728E+11,0.191325675
4.63147E+11,0.193920956
7.52626E+11,0.190483929
1.20612E+12,0.185513278
1.88143E+12,0.183923838
3.11686E+12,0.18528163
4.80021E+12,0.184992985
7.95248E+12,0.184399802
1.25496E+13,0.181514224
2.02904E+13,0.183111273
3.20199E+13,0.18001514
5.1776E+13,0.175033409
8.14052E+13,0.165948822
1.34037E+14,0.155100868
2.11142E+14,0.14076937
3.39015E+14,0.120307651
5.39287E+14,0.097658433
8.6207E+14,0.075182694
1.37857E+15,0.050852101
2.27675E+15,0.031033647
3.38013E+15,0.019603911
4.96576E+15,0.01183506
7.45466E+15,0.006376395
1.05414E+16,0.003673022
1.42044E+16,0.002252444
1.87E+16,0.001456403
2.64992E+16,0.000758803
3.87134E+16,0.000386473
5.81386E+16,0.000183423
8.36548E+16,9.32225E-05
1.20371E+17,4.72335E-05
1.69547E+17,2.42564E-05
2.88511E+17,6.91761E-06
4.35818E+17,3.34032E-06
6.53373E+17,1.63054E-06
8.81547E+17,9.75E-07
1.38174E+18,4.32E-07
2.04979E+18,2.11E-07
2.80054E+18,1.11E-07
3.46874E+18,7.61E-08
5.35502E+18,3.34E-08
7.07991E+18,2.02E-08
9.90181E+18,1.04E-08
1.32697E+19,5.54E-09
1.9645E+19,2.73E-09
2.95081E+19,1.21E-09
3.81726E+19,6.12E-10
5.37428E+19,3.68E-10
6.80362E+19,2.08E-10
