nxc,tau
14438127869,0.000193824
15819269635,0.000122668
23780942985,0.000176206
46997320698,0.000175596
67495275777,0.00017077
1.19914E+11,0.0001732
1.8024E+11,0.000172362
3.05955E+11,0.00017208
4.72769E+11,0.000174497
7.68291E+11,0.000169072
1.24687E+12,0.000172817
1.92058E+12,0.000163633
3.18122E+12,0.000173803
4.9053E+12,0.0001619
8.11664E+12,0.000173364
1.2515E+13,0.000163576
2.07097E+13,0.000170999
3.26841E+13,0.000163577
5.28415E+13,0.000168037
8.30688E+13,0.000167135
1.36748E+14,0.000167684
2.13528E+14,0.000166846
3.4824E+14,0.000160106
5.495E+14,0.000162365
8.88568E+14,0.000156012
1.40214E+15,0.000156951
2.32331E+15,0.000147607
3.57817E+15,0.000146046
5.85399E+15,0.000132009
9.13444E+15,0.000120856
1.49919E+16,0.000101054
2.4119E+16,8.05548E-05
3.74612E+16,6.04646E-05
6.34058E+16,3.79742E-05
9.33932E+16,2.65448E-05
1.72633E+17,1.19626E-05
2.63834E+17,6.93931E-06
3.78613E+17,4.24483E-06
4.92024E+17,2.77981E-06
7.1176E+17,1.40205E-06
9.40016E+17,8.64E-07
1.38174E+18,4.32E-07
2.04979E+18,2.11E-07
2.80054E+18,1.11E-07
3.46874E+18,7.61E-08
5.35502E+18,3.34E-08
7.07991E+18,2.02E-08
9.90181E+18,1.04E-08
1.32697E+19,5.54E-09
2.05054E+19,2.47E-09
2.38367E+19,1.47E-09
3.38467E+19,8.80E-10
