Imp_P,P,Imp_As,As
1.37356375407508E+020,1.0003395743,1.88428410154633E+019,0.8373539205
1.83265122346637E+020,1.0009228135,2.00022133529804E+019,0.8505119048
2.44517991750182E+020,1.0012144331,2.03421452080876E+019,0.8605808815
3.26243463698749E+020,1.0013237905,2.18422767623993E+019,0.8737902079
4.34248024574338E+020,1.0009228135,2.31043393590945E+019,0.8862601136
,,2.3821857947285E+019,0.8969194175
,,2.51041142722226E+019,0.9070273781
,,2.66875714102243E+019,0.9167844838
,,2.81240801541565E+019,0.9257173592
,,2.95087056417226E+019,0.9345611285
,,3.20628046074637E+019,0.9462897043
,,3.55407726650356E+019,0.957330891
,,3.84486215393997E+019,0.9663242311
,,4.39154304320698E+019,0.9766637081
,,4.93328797106476E+019,0.9916836363
,,5.73272284723339E+019,0.9878242332
,,6.42235591779282E+019,0.9955266937
,,8.56890580823826E+019,0.9985169518
,,1.14328990311851E+020,0.9997927876
,,1.52541273276228E+020,1.0006676464
,,2.03525282513764E+020,1.000959266
,,2.71549723774089E+020,1.0013237905
,,3.62310036232462E+020,1.0013237905
,,4.35284114859322E+020,1.0013237905
